# Time 8,KK,Kpp,P,K,Kp,K_KK,Kp_KK,Kpp_P,Kp_P,KKa,Pa
107.5000836630,169,418,179,414,117,123,8,113,8,0,0
108.0000840516,177,393,176,438,123,112,11,115,9,0,0
108.5000844403,179,404,174,441,109,111,10,116,10,0,0
109.0000848290,175,397,175,430,124,117,8,110,15,0,0
109.5000852176,161,403,186,429,116,126,13,100,14,0,0
110.0000856063,184,413,176,426,122,104,12,114,10,0,0
110.5000859950,166,420,188,411,124,124,10,102,10,0,0
111.0000863836,180,422,176,428,107,113,7,108,16,0,0
111.5000867723,188,421,181,428,121,100,12,112,7,0,0
112.0000871610,172,443,180,407,103,122,6,112,8,0,0
112.5000875496,174,409,170,421,115,111,15,119,11,0,0
113.0000879383,187,427,176,408,129,107,6,114,10,0,0
113.5000883270,182,427,178,417,117,105,13,112,10,0,0
114.0000887156,182,431,177,416,113,111,7,117,6,0,0
114.5000891043,193,432,159,411,110,102,5,122,19,0,0
115.0000894930,182,420,178,399,142,107,11,112,10,0,0
115.5000898816,185,439,181,412,116,110,5,109,10,0,0
116.0000902703,175,437,180,404,115,115,10,106,14,0,0
116.5000906590,190,425,177,432,111,102,8,107,16,0,0
117.0000910476,187,402,180,430,136,102,11,105,15,0,0
117.5000914363,165,400,178,413,131,125,10,111,11,0,0
118.0000918250,177,424,190,414,130,113,10,99,11,0,0
118.5000922136,193,414,167,410,137,97,10,116,17,0,0
119.0000926023,183,417,172,417,122,107,10,115,13,0,0
119.5000929910,182,415,183,431,120,109,9,105,12,0,0
120.0000933796,169,387,179,427,135,122,9,108,13,0,0
120.5000937683,157,392,192,431,127,133,10,102,6,0,0
121.0000941570,167,387,182,442,121,122,11,107,11,0,0
121.5000945456,176,390,185,440,132,112,12,100,15,0,0
122.0000949343,171,397,183,456,102,121,8,105,12,0,0
122.5000953230,167,390,191,450,119,122,11,91,18,0,0
123.0000957116,170,375,188,456,128,120,10,105,7,0,0
123.5000961003,180,378,178,456,125,115,5,103,19,0,0
124.0000964890,167,359,184,464,129,120,13,101,15,0,0
124.5000968776,175,348,184,473,139,109,16,103,13,0,0
125.0000972663,167,372,184,468,112,118,15,103,13,0,0
125.5000976550,163,376,197,468,117,125,12,95,8,0,0
126.0000980436,158,379,184,459,105,131,11,104,12,0,0
126.5000984323,162,385,195,455,118,126,12,97,8,0,0
127.0000988210,189,392,190,472,116,101,10,99,11,0,0
127.5000992096,174,399,181,441,116,116,10,109,10,0,0
128.0000995983,175,417,195,446,108,115,10,92,13,0,0
128.5000999870,174,386,169,432,126,112,14,122,9,0,0
129.0001003756,162,388,166,420,121,122,16,125,9,0,0
129.5001007643,164,388,191,428,140,125,11,103,6,0,0
130.0001011530,168,380,163,441,111,120,12,116,21,0,0
130.5001015416,173,392,180,449,113,117,10,113,7,0,0
131.0001019303,168,408,202,440,123,122,10,86,12,0,0
131.5001023190,167,396,201,440,133,123,10,90,9,0,0
132.0001027077,175,380,171,444,123,114,11,115,14,0,0
132.5001030963,166,383,182,450,116,125,9,103,15,0,0
133.0001034850,164,389,194,460,110,123,13,100,6,0,0
133.5001038737,160,374,182,449,120,130,10,111,7,0,0
134.0001042623,160,375,181,435,132,128,12,107,12,0,0
134.5001046510,168,399,182,430,122,121,11,103,15,0,0
135.0001050397,166,410,182,425,114,124,10,106,12,0,0
135.5001054283,176,411,191,430,127,112,12,96,13,0,0
136.0001058170,179,409,180,436,115,109,12,102,18,0,0
136.5001062057,176,406,183,428,126,113,11,104,13,0,0
137.0001065943,174,402,176,423,126,109,17,116,8,0,0
137.5001069830,161,400,164,413,113,132,7,127,9,0,0
138.0001073717,174,413,188,425,125,115,11,105,7,0,0
138.5001077603,176,415,190,439,113,114,10,98,12,0,0
139.0001081490,178,393,176,439,123,111,11,114,10,0,0
139.5001085377,183,419,189,425,129,105,12,95,16,0,0
140.0001089263,189,432,187,422,123,100,11,104,9,0,0
140.5001093150,196,441,192,435,113,89,15,102,6,0,0
141.0001097037,172,423,173,400,123,114,14,117,10,0,0
141.5001100923,165,404,182,412,132,124,11,108,10,0,0
142.0001104810,192,403,184,435,139,99,9,104,12,0,0
142.5001108697,186,416,191,436,126,108,6,101,8,0,0
143.0001112583,162,392,167,417,121,125,13,124,9,0,0
143.5001116470,171,404,177,423,122,121,8,113,10,0,0
144.0001120357,173,392,174,434,122,120,7,110,16,0,0
144.5001124243,168,404,181,420,126,125,7,110,9,0,0
145.0001128130,174,415,175,421,114,109,17,112,13,0,0
145.5001132017,165,419,186,415,118,120,15,109,5,0,0
146.0001135903,181,429,178,414,117,110,9,107,15,0,0
146.5001139790,180,410,166,404,133,106,14,125,9,0,0
147.0001143677,185,421,168,414,119,103,12,115,17,0,0
147.5001147563,169,431,186,402,123,119,12,100,14,0,0
148.0001151450,180,410,178,416,133,112,8,106,16,0,0
148.5001155337,167,404,165,423,106,123,10,120,15,0,0
149.0001159223,166,411,179,426,109,120,14,110,11,0,0
149.5001163110,168,417,183,426,109,128,4,105,12,0,0
150.0001166997,180,405,184,441,119,115,5,106,10,0,0
150.5001170883,182,407,178,435,119,114,4,107,15,0,0
151.0001174770,173,400,194,426,142,120,7,101,5,0,0
151.5001178657,166,398,173,431,111,128,6,119,8,0,0
152.0001182543,173,397,171,431,117,115,12,111,18,0,0
152.5001186430,182,401,183,441,124,106,12,105,12,0,0
153.0001190317,179,399,185,436,130,114,7,108,7,0,0
153.5001194203,170,387,164,425,123,111,19,126,10,0,0
154.0001198090,178,411,183,419,132,103,19,107,10,0,0
154.5001201977,181,410,160,413,119,105,14,125,15,0,0
155.0001205863,183,408,157,411,122,101,16,129,14,0,0
155.5001209750,174,415,177,412,125,115,11,107,16,0,0
156.0001213637,179,403,179,433,123,109,12,115,6,0,0
156.5001217523,177,401,184,439,122,114,9,102,14,0,0
157.0001221410,173,406,190,441,117,118,9,98,12,0,0
157.5001225297,165,398,185,434,119,125,10,100,15,0,0
158.0001229183,166,384,182,439,126,126,8,106,12,0,0
158.5001233070,181,385,178,451,124,104,15,111,11,0,0
159.0001236957,172,369,178,454,128,118,10,112,10,0,0
159.5001240844,169,377,192,455,130,115,16,93,15,0,0
160.0001244730,179,398,193,460,115,114,7,96,11,0,0
160.5001248617,167,411,183,428,112,122,11,104,13,0,0
161.0001252504,159,416,189,418,115,130,11,104,7,0,0
161.5001256390,174,403,187,428,131,115,11,109,4,0,0
162.0001260277,176,419,200,438,120,115,9,91,9,0,0
162.5001264164,185,395,176,459,108,99,16,113,11,0,0
163.0001268050,181,407,173,433,115,108,11,112,15,0,0
163.5001271937,187,422,181,417,130,97,16,106,13,0,0
164.0001275824,185,426,187,423,125,106,9,107,5,0,1
164.5001278568,184,430,169,404,121,107,8,117,14,1,0
165.0001283597,177,419,172,410,121,113,10,116,12,0,0
165.5001287484,172,409,167,407,124,120,8,121,12,0,0
166.0001291370,180,417,179,416,127,113,7,109,12,0,0
166.5001295257,177,397,166,421,126,109,14,121,13,0,0
167.0001299144,158,421,191,419,110,129,13,102,7,0,0
167.5001303030,162,431,186,411,107,122,16,101,13,0,0
168.0001306917,176,423,180,421,113,112,12,113,7,0,0
168.5001310804,188,415,185,439,120,97,15,109,6,0,0
169.0001314690,182,408,163,425,113,102,16,127,10,0,0
169.5001318577,181,433,177,409,117,111,8,113,10,0,0
170.0001322464,174,437,181,395,124,115,11,106,13,0,0
170.5001326350,186,442,184,403,126,100,14,106,10,0,0
171.0001330237,183,439,186,395,136,107,10,104,10,0,0
171.5001334124,176,427,183,397,136,111,13,108,9,0,0
172.0001338010,181,428,170,394,130,110,9,115,15,0,0
172.5001341897,170,438,176,390,119,120,10,116,8,0,0
173.0001345784,182,456,174,387,114,113,5,120,6,0,0
173.5001349670,164,458,165,357,115,122,14,126,9,0,0
174.0001353557,174,462,171,378,106,107,19,110,19,0,0
174.5001357444,172,462,166,374,103,115,13,116,18,0,0
175.0001361330,175,472,181,382,103,117,8,112,7,0,0
175.5001365217,187,459,188,381,136,106,7,102,10,0,0
176.0001369104,186,443,173,393,124,100,14,116,11,0,0
176.5001372990,178,444,159,396,98,108,14,120,21,0,0
177.0001376877,175,426,170,415,105,115,10,124,6,0,0
177.5001380764,166,406,170,416,115,121,13,118,12,0,0
178.0001384650,172,412,179,418,122,114,14,109,12,0,0
178.5001388537,177,413,175,432,108,117,6,114,11,0,0
179.0001392424,180,415,163,404,125,110,10,127,10,0,0
179.5001396310,175,421,182,402,135,114,11,108,10,0,0
180.0001400197,170,391,154,400,134,116,14,129,17,0,0
180.5001404084,162,431,202,410,124,124,14,90,8,0,0
181.0001407970,177,437,196,433,104,115,8,97,7,0,0
